disasternumber,totalnumberiaapproved,totalamountihpapproved,totalamounthaapproved,totalamountonaapproved,totalobligatedamountpa,totalobligatedamountcatab,totalobligatedamountcatc2g,totalobligatedamounthmgp,paloaddate,ialoaddate,disasternumber_filled,totalnumberiaapproved_filled,totalamountihpapproved_filled,totalamounthaapproved_filled,totalamountonaapproved_filled,totalobligatedamountpa_filled,totalobligatedamountcatab_filled,totalobligatedamountcatc2g_filled,totalobligatedamounthmgp_filled
2153,,,,,1717.1,1717.1,,,2026-02-06,,2153,0.0,0.0,0.0,0.0,1717.1,1717.1,0.0,0.0
3577,,,,,252457.03,237542.16,,,2026-02-06,,3577,0.0,0.0,0.0,0.0,252457.03,237542.16,0.0,0.0
2523,,,,,251890.75,65575.7,,0.0,2026-02-06,,2523,0.0,0.0,0.0,0.0,251890.75,65575.7,0.0,0.0
2938,,,,,41579.62,13570.27,,0.0,2026-02-06,,2938,0.0,0.0,0.0,0.0,41579.62,13570.27,0.0,0.0
2972,,,,,427980.25,,,0.0,2026-02-06,,2972,0.0,0.0,0.0,0.0,427980.25,0.0,0.0,0.0
2992,,,,,2393137.14,,,0.0,2026-02-06,,2992,0.0,0.0,0.0,0.0,2393137.14,0.0,0.0,0.0
5177,,,,,1078505.47,52643.11,,0.0,2026-02-06,,5177,0.0,0.0,0.0,0.0,1078505.47,52643.11,0.0,0.0
2375,,,,,363262.4,363262.4,,,2026-02-06,,2375,0.0,0.0,0.0,0.0,363262.4,363262.4,0.0,0.0
2404,,,,,298474.23,233499.75,,,2026-02-06,,2404,0.0,0.0,0.0,0.0,298474.23,233499.75,0.0,0.0
2570,,,,,8644.57,4008.82,,0.0,2026-02-06,,2570,0.0,0.0,0.0,0.0,8644.57,4008.82,0.0,0.0
